Time;Values
2023-02;136.51
2023-01;138.27
2022-12;134.99
2022-11;129.11
2022-10;118.87
2022-09;125.69
2022-08;118.08
2022-07;114.83
2022-06;128.08
2022-05;110.42
2022-04;107.69
2022-03;109.61
2022-02;100.87
2022-01;99.73
2021-12;149.48
2021-11;85.84
2021-10;104.22
2021-09;118.03
2021-08;100.53
2021-07;107.15
2021-06;99.47
2021-05;103.87
2021-04;101.82
2021-03;104.93
2021-02;102.49
2021-01;112.76
2020-12;101.41
2020-11;109.5
2020-10;108.61
2020-09;101.8
2020-08;112.39
2020-07;109.63
2020-06;106.63
2020-05;85.99
2020-04;31.83
2020-03;48.84
2020-02;102.86
2020-01;97.95
2019-12;107.58
2019-11;114.76
2019-10;89.67
2019-09;100.8
2019-08;100.85
2019-07;105.39
2019-06;104.64
2019-05;110.38
2019-04;114.54
2019-03;107.66
2019-02;116.86
2019-01;111.46
2018-12;104.26
2018-11;107.49
2018-10;108.77
2018-09;121.17
2018-08;105.61
2018-07;129.94
2018-06;110.13
2018-05;93.23
2018-04;99.46
2018-03;104.1
2018-02;101.26
2018-01;98.67
2017-12;111.01
2017-11;104.01
2017-10;110.31
2017-09;107.14
2017-08;111.01
2017-07;109.21
2017-06;109.35
2017-05;109.86
2017-04;98.28
2017-03;91.9
2017-02;87.73
2017-01;81.16
2016-12;91.83
2016-11;90.23
2016-10;83.33
2016-09;86.61
2016-08;89.34
2016-07;90.95
2016-06;92.86
2016-05;94.75
2016-04;103.26
2016-03;97.44
2016-02;102.14
2016-01;111.53
2015-12;98.25
2015-11;99.94
2015-10;101.28
2015-09;102.29
2015-08;107.98
2015-07;88.63
2015-06;92.62
2015-05;98.4
2015-04;95.12
2015-03;101.74
2015-02;105.7
2015-01;108.06
2014-12;100.82
2014-11;104.09
2014-10;102.61
2014-09;108.45
2014-08;109.16
2014-07;108.34
2014-06;110.35
2014-05;96.24
2014-04;110.71
2014-03;118.05
2014-02;120.52
2014-01;125.1
2013-12;137.45
2013-11;125.39
2013-10;132.17
2013-09;114.14
2013-08;104.84
2013-07;132.77
2013-06;133.99
2013-05;133.28
2013-04;149.77
2013-03;127.59
2013-02;124.79
2013-01;121.01
2012-12;117.4
2012-11;121.73
2012-10;138.93
2012-09;119.14
2012-08;115.66
2012-07;119.04
2012-06;125.28
2012-05;122.95
2012-04;131.57
2012-03;139.02
2012-02;133.71
2012-01;133.96
2011-12;125.69
2011-11;136.35
2011-10;133.79
2011-09;140.56
2011-08;135.19
2011-07;131.78
2011-06;122.65
2011-05;129.8
2011-04;121.91
2011-03;114.64
2011-02;95.38
2011-01;107.32
2010-12;112.47
2010-11;100.93
2010-10;101.3
2010-09;113.74
2010-08;124.82
2010-07;102.34
2010-06;98.41
2010-05;92.95
2010-04;71.8
2010-03;71.79
2010-02;81.9
2010-01;85.19
2009-12;81.4
2009-11;76.78
2009-10;75.88
2009-09;69.93
2009-08;120.88
2009-07;87.19
2009-06;88.46
2009-05;85.7
2009-04;95.26
2009-03;122.41
2009-02;156.22
2009-01;161.1
2008-12;165.84
2008-11;199.64
2008-10;177.06
2008-09;151.79
2008-08;136.3
2008-07;145.87
2008-06;153.13
2008-05;162.38
2008-04;194.71
2008-03;169.84
2008-02;158.01
2008-01;119.03
2007-12;147.41
2007-11;161.41
2007-10;149.32
2007-09;145.28
2007-08;128.26
2007-07;147.55
2007-06;148.99
2007-05;148.38
2007-04;141.65
2007-03;139.53
2007-02;134.15
2007-01;134.1
2006-12;132.16
2006-11;143.06
2006-10;140.89
2006-09;142.69
2006-08;130.88
2006-07;137.4
2006-06;130.01
2006-05;118.94
2006-04;130.32
2006-03;122.67
2006-02;129.07
2006-01;118.28
2005-12;126.63
2005-11;123.96
2005-10;128.4
2005-09;130.83
2005-08;134.24
2005-07;133.87
2005-06;134.28
2005-05;142.9
2005-04;146.39
2005-03;142.24
2005-02;138.54
2005-01;156.25
2004-12;149.03
2004-11;142.95
2004-10;146.79
2004-09;151.48
2004-08;123.3
2004-07;140.48
2004-06;147.46
2004-05;137.01
2004-04;133.02
2004-03;132.15
2004-02;139.9
2004-01;133.95
2003-12;136.75
2003-11;141.5
2003-10;141.17
2003-09;121.64
2003-08;137.8
2003-07;127.01
2003-06;127.18
2003-05;128.91
2003-04;154.54
2003-03;156.04
2003-02;146.05
2003-01;138.88
2002-12;130.51
2002-11;113.69
2002-10;118.01
2002-09;121.62
2002-08;117.11
2002-07;131.16
2002-06;127.43
2002-05;125.63
2002-04;120.52
2002-03;124.31
2002-02;118.17
2002-01;123.54
2001-12;120.7
2001-11;116.96
2001-10;115.98
2001-09;113.25
2001-08;121.44
2001-07;115.16
2001-06;118.14
2001-05;118.31
2001-04;114.81
2001-03;117.76
2001-02;113.17
2001-01;105.28
2000-12;116.02
2000-11;113.95
2000-10;114.15
2000-09;116.37
2000-08;127.64
2000-07;101.03
2000-06;120.02
2000-05;129.02
2000-04;114.19
2000-03;112.53
2000-02;106.43
2000-01;110.49
1999-12;110.66
1999-11;118.05
1999-10;127.5
1999-09;124.05
1999-08;118.36
1999-07;132.16
1999-06;122.69
1999-05;124.77
1999-04;122.13
1999-03;117.6
1999-02;125.22
1999-01;117.64
1998-12;112.4
1998-11;113.36
1998-10;106.18
1998-09;111.94
1998-08;103.54
1998-07;97.76
1998-06;96.14
1998-05;102.06
1998-04;100.81
1998-03;94.86
1998-02;124.91
1998-01;111.67
1997-12;118.92
1997-11;116.62
1997-10;126.02
1997-09;113.66
1997-08;117.53
1997-07;107.56
1997-06;103.78
1997-05;97.06
1997-04;106.69
1997-03;118.68
1997-02;105.99
1997-01;103.65
1996-12;113.81
1996-11;109.01
1996-10;109.35
1996-09;107.28
1996-08;103.99
1996-07;118.62
1996-06;116.14
1996-05;111.32
1996-04;117.1
1996-03;122.64
1996-02;124.23
1996-01;123.22
1995-12;117.37
1995-11;117.31
1995-10;106.08
1995-09;111.98
1995-08;104.86
1995-07;109.02
1995-06;117.92
1995-05;119.3
1995-04;104.16
1995-03;107.26
1995-02;98.95
1995-01;105.38
1994-12;99.19
1994-11;102.54
1994-10;95.04
1994-09;90.45
1994-08;97.71
1994-07;92.31
1994-06;84.7
1994-05;91.51
1994-04;92.83
1994-03;75.91
1994-02;87.7
1994-01;83.25
1993-12;79.38
1993-11;74.24
1993-10;82.48
1993-09;83.67
1993-08;81.53
1993-07;91.19
1993-06;83.84
1993-05;79.02
1993-04;76.1
1993-03;73.03
1993-02;72.76
1993-01;79.84
1992-12;81.78
1992-11;81.59
1992-10;90.51
1992-09;87.65
1992-08;96.26
1992-07;91.17
1992-06;90.5
1992-05;94.91
1992-04;94.69
1992-03;88.97
1992-02;90.44
1992-01;86.93
1991-12;93.02
1991-11;107.87
1991-10;85.77
1991-09;90.52
1991-08;100.25
1991-07;93.15
1991-06;96.59
1991-05;98.26
1991-04;104.39
1991-03;112.2
1991-02;116.66
1991-01;123.17
1990-12;116.16
1990-11;124.9
1990-10;139.48
1990-09;130.85
1990-08;119.3
1990-07;121.2
1990-06;127.8
1990-05;126.88
1990-04;137.3
1990-03;147.3
1990-02;159.17
1990-01;138.45
